Artikelnr;Artikel Bezeichnung 1;Artikel Bezeichnung 2;Artikel Bezeichnung3;Lieferant;Hersteller;Lief. Artikelnr;Lief. Artikel Bezeichnung 1;Lief. Artikel Bezeichnung 2;Lief. Artikel Bezeichnung 3
1128874;4L340;SKF Gardenpower;;Concar;SKF;4L340;4L - 340;ConCar Keilriemen,GardenPower,;
1127560;LGHP2/1;SKF-Hochleistungs-Fett 1kg-Dose;;Concar;SKF;1127560;LGHP2/1;SKF-Hochleistungs-Fett 1kg-Dose;
1127560;LGHP2/1;SKF-Hochleistungs-Fett 1kg-Dose;;Concar;SKF;100LGHP 2/1  ;LGHP 2/1;SKF-Hochleistungs-Fett 1kg-Dose;
1128637;3L340;SKF Gardenpower;;Concar;SKF;3L340;3L - 340;ConCar Keilriemen,GardenPower,;
1129337;4L700;SKF Gardenpower;;Concar;SKF;4L700;4L - 700;ConCar Keilriemen,GardenPower,;
1129539;4L970;SKF Gardenpower;;Concar;SKF;4L970;4L - 970;ConCar Keilriemen,GardenPower,;
1129552;4L980;SKF Gardenpower;;Concar;SKF;4L980;4L - 980;ConCar Keilriemen,GardenPower,;
1133167;5L390;SKF Gardenpower;;Concar;SKF;5L390;5L - 390;ConCar Keilriemen,GardenPower,;
1134875;4L710;SKF Gardenpower;;Concar;SKF;4L710;4L - 710;ConCar Keilriemen,GardenPower,;
1135093;5L880;SKF Gardenpower;;Concar;SKF;5L880;5L - 880;ConCar Keilriemen,GardenPower,;
1135300;4L450;SKF Gardenpower;;Concar;SKF;4L450;4L - 450;ConCar Keilriemen,GardenPower,;
1130455;5L350;SKF Gardenpower;;Concar;SKF;5L350;5L - 350;ConCar Keilriemen,GardenPower,;
1138415;LGWA2/0.4;SKF Fett 400g Kartusche;für breiten Temperaturbereich, für extreme Drücke;Concar;SKF;LGWA2/04SKF;LGWA2/0.4;SKF Fett 400g Kartusche;für breiten Temperaturbereich, für extreme Drücke
1138415;LGWA2/0.4;SKF Fett 400g Kartusche;für breiten Temperaturbereich, für extreme Drücke;Concar;SKF;1138415;LGWA2/0.4;SKF Fett 400g Kartusche;für breiten Temperaturbereich, für extreme Drücke
1139789;3L270;SKF Gardenpower;;Concar;SKF;3L270;3L - 270;ConCar Keilriemen,GardenPower,;
1139790;3L380;SKF Gardenpower;;Concar;SKF;3L380;3L - 380;ConCar Keilriemen,GardenPower,;
1139796;5L490;SKF Gardenpower;;Concar;SKF;5L490;5L - 490;ConCar Keilriemen,GardenPower,;
1140405;LGHP2/18;SKF-Hochleistungs-Fett 18kg-Eimer;;Concar;SKF;1140405;LGHP2/18;SKF-Hochleistungs-Fett 18kg-Eimer;
1140405;LGHP2/18;SKF-Hochleistungs-Fett 18kg-Eimer;;Concar;SKF;100LGHP 2/18;LGHP 2/18;SKF-Hochleistungs-Fett 18kg-Eimer;
1142043;4L510;SKF Gardenpower;;Concar;SKF;4L510;4L - 510;ConCar Keilriemen,GardenPower,;
1140103;5L810;SKF Gardenpower;;Concar;SKF;5L810;5L - 810;ConCar Keilriemen,GardenPower,;
1140293;3L240;SKF Gardenpower;;Concar;SKF;3L240;3L - 240;ConCar Keilriemen,GardenPower,;
1141972;3L530;SKF Gardenpower;;Concar;SKF;3L530;3L - 530;ConCar Keilriemen,GardenPower,;
1143519;5L590;SKF Gardenpower;;Concar;SKF;5L590;5L - 590;ConCar Keilriemen,GardenPower,;
1143746;LGWA 2/0.2;SKF-Fett 200g Tube;;Concar;SKF;1143746;LGWA 2/0.2;SKF-Fett 200g Tube;
1143746;LGWA 2/0.2;SKF-Fett 200g Tube;;Concar;SKF;100LGWA 2/0.2;LGWA 2/0.2;SKF-Fett 200g Tube;
1143844;LGWA2/1;SKF-Fett 1kg-Dose;;Concar;SKF;LGWA2/1SKF;LGWA2/1;SKF-Fett 1kg-Dose;
1143844;LGWA2/1;SKF-Fett 1kg-Dose;;Concar;SKF;100LGWA 2/1;LGWA 2/1;SKF-Fett 1kg-Dose;
1146711;5L620;SKF Gardenpower;;Concar;SKF;5L620;5L - 620;ConCar Keilriemen,GardenPower,;
1144736;5L380;SKF Gardenpower;;Concar;SKF;5L380;5L - 380;ConCar Keilriemen,GardenPower,;
1145147;5L660;SKF Gardenpower;;Concar;SKF;5L660;5L - 660;ConCar Keilriemen,GardenPower,;
1145674;4L210;SKF Gardenpower;;Concar;SKF;4L210;4L - 210;ConCar Keilriemen,GardenPower,;
1145958;5L440;SKF Gardenpower;;Concar;SKF;5L440;5L - 440;ConCar Keilriemen,GardenPower,;
1146383;4L1020;SKF Gardenpower;;Concar;SKF;4L1020;4L - 1020;ConCar Keilriemen,GardenPower,;
1146413;5L340;SKF Gardenpower;;Concar;SKF;5L340;5L - 340;ConCar Keilriemen,GardenPower,;
1149009;LGWA2/5;SKF-Fett 5kg-Dose;;Concar;SKF;1149009;LGWA2/5;SKF-Fett 5kg-Dose;
1149009;LGWA2/5;SKF-Fett 5kg-Dose;;Concar;SKF;100LGWA 2/5;LGWA 2/5;SKF-Fett 5kg-Dose;
1149012;LGHP2/5;SKF-Hochleistungs-Fett 5kg-Dose;;Concar;SKF;1149012;LGHP2/5;SKF-Hochleistungs-Fett 5kg-Dose;
1149012;LGHP2/5;SKF-Hochleistungs-Fett 5kg-Dose;;Concar;SKF;100LGHP 2/5;LGHP 2/5;SKF-Hochleistungs-Fett 5kg-Dose;
1149074;LGFP2/18;SKF-Fett 18kg-Eimer;Aluminium-Komplex/medizinisch weißes Öl -20 bis 110 C;Concar;SKF;1149074;LGFP2/18;SKF-Fett 18kg-Eimer;Aluminium-Komplex/medizinisch weißes Öl -20 bis 110 C
1149074;LGFP2/18;SKF-Fett 18kg-Eimer;Aluminium-Komplex/medizinisch weißes Öl -20 bis 110 C;Concar;SKF;100LGFP 2/18;LGFP 2/18;SKF-Fett 18kg-Eimer;Aluminium-Komplex/medizinisch weißes Öl -20 bis 110 C
1150255;4L230;SKF Gardenpower;;Concar;SKF;4L230;4L - 230;ConCar Keilriemen,GardenPower,;
1150625;4L590;SKF Gardenpower;;Concar;SKF;4L590;4L - 590;ConCar Keilriemen,GardenPower,;
1150732;3L290;SKF Gardenpower;;Concar;SKF;3L290;3L - 290;ConCar Keilriemen,GardenPower,;
1150946;3L350;SKF Gardenpower;;Concar;SKF;3L350;3L - 350;ConCar Keilriemen,GardenPower,;
1151745;3L520;SKF Gardenpower;;Concar;SKF;3L520;3L - 520;ConCar Keilriemen,GardenPower,;
1151838;3L510;SKF Gardenpower;;Concar;SKF;3L510;3L - 510;ConCar Keilriemen,GardenPower,;
1152801;5L890;SKF Gardenpower;;Concar;SKF;5L890;5L - 890;ConCar Keilriemen,GardenPower,;
1153104;3L330;SKF Gardenpower;;Concar;SKF;3L330;3L - 330;ConCar Keilriemen,GardenPower,;
1153841;5L330;SKF Gardenpower;;Concar;SKF;5L330;5L - 330;ConCar Keilriemen,GardenPower,;
